name,language,frequency
Richards,en,48
Spencer,en,48
Hoffman,en,48
Griffin,en,48
Cole,en,47
Perry,en,47
Barrett,en,47
Arnold,en,46
Warren,en,46
Crawford,en,45
Riley,en,45
Fuller,en,45
Meyer,en,45
Pierce,en,45
Ferguson,en,45
Gardner,en,45
Boyd,en,44
Jacobs,en,44
Burke,en,44
Mann,en,44
Carroll,en,44
Austin,en,44
Mason,en,43
Baldwin,en,43
Shapiro,en,43
Dixon,en,43
Harper,en,42
Dunn,en,42
Day,en,42
Montgomery,en,42
Mills,en,42
Powell,en,42
Webb,en,42
Duncan,en,42
Carr,en,42
Hayes,en,42
Chapman,en,41
Hansen,en,41
Nichols,en,41
Robertson,en,40
Wagner,en,40
Schwartz,en,40
Gilbert,en,40
Cunningham,en,39
Owens,en,39
Woods,en,39
Curtis,en,39
Reid,en,39
O'Connor,en,38
Douglas,en,38
Burns,en,38
Graves,en,38
Johnston,en,38
Hopkins,en,38
Simon,en,38
Sanders,en,38
Fletcher,en,38
Myers,en,38
Page,en,37
Simpson,en,37
Steele,en,37
Bishop,en,36
Caldwell,en,36
Davidson,en,36
Goodman,en,36
Hawkins,en,36
Stephens,en,35
Kramer,en,35
Wheeler,en,35
McCarthy,en,35
Sherman,en,35
May,en,35
Beck,en,35
Ray,en,35
Dean,en,34
Pearson,en,34
Elliott,en,34
Oliver,en,34
Bates,en,34
Frank,en,34
Klein,en,34
Fields,en,34
Newman,en,33
Cannon,en,33
Schmidt,en,33
Hicks,en,33
Kaplan,en,33
Blake,en,33
Pratt,en,33
Ball,en,32
Holt,en,32
Weiss,en,32
Wolf,en,32
Little,en,32
Jennings,en,32
Harvey,en,32
Payne,en,32
Willis,en,32
Garrett,en,32
Gross,en,32
Fowler,en,32
Webster,en,32
Banks,en,31
Levine,en,31
Leonard,en,31
Sims,en,31
Weber,en,31
Quinn,en,31
Perkins,en,31
Hubbard,en,31
Holland,en,31
Berry,en,31
Kelley,en,31
Katz,en,31
Barry,en,31
Powers,en,31
Burton,en,30
Brewer,en,30
Chandler,en,30
Wolfe,en,30
