name,gender,language,frequency
Renaud,m,fr,26
Marius,m,fr,25
Tony,m,fr,25
George,m,fr,25
Octave,m,fr,24
Quentin,m,fr,24
José,m,fr,24
Rémy,m,fr,23
Valentin,m,fr,23
Les,m,fr,22
Élie,m,fr,22
Martial,m,fr,21
Constant,m,fr,21
Léo,m,fr,20
Peire,m,fr,20
James,m,fr,20
Yoann,m,fr,20
Antonin,m,fr,20
Lucas,m,fr,19
Stanislas,m,fr,19
Prosper,m,fr,18
Anatole,m,fr,18
Hugo,m,fr,18
Barthélemy,m,fr,18
Germain,m,fr,18
Léopold,m,fr,18
Yvon,m,fr,17
Geoffrey,m,fr,17
Gaëtan,m,fr,17
Honoré,m,fr,17
Gaël,m,fr,17
Jordan,m,fr,17
Johann,m,fr,17
Philibert,m,fr,16
Johan,m,fr,16
Louis-François,m,fr,16
Tristan,m,fr,16
Jean-Antoine,m,fr,16
Pierre-François,m,fr,16
François-Xavier,m,fr,16
Boris,m,fr,16
Anna,f,de,95
Maria,f,de,75
Sabine,f,de,72
Claudia,f,de,70
Barbara,f,de,65
Elisabeth,f,de,64
Karin,f,de,64
Susanne,f,de,63
Eva,f,de,63
Petra,f,de,58
Monika,f,de,56
Andrea,f,de,55
Ursula,f,de,52
Gabriele,f,de,51
Katharina,f,de,49
Birgit,f,de,48
Julia,f,de,48
Charlotte,f,de,46
Franziska,f,de,44
Anja,f,de,43
Ulrike,f,de,42
Johanna,f,de,42
Ingrid,f,de,41
Jutta,f,de,41
Marie,f,de,41
Heike,f,de,40
Brigitte,f,de,39
Christine,f,de,39
Marianne,f,de,37
Helga,f,de,37
Katja,f,de,36
Gisela,f,de,35
Lisa,f,de,35
Christina,f,de,35
Ruth,f,de,35
Bettina,f,de,34
Kerstin,f,de,34
Christiane,f,de,34
Martina,f,de,33
Katrin,f,de,32
Angelika,f,de,32
Anne,f,de,31
Renate,f,de,31
Sophie,f,de,30
Luise,f,de,30
Sandra,f,de,29
Ute,f,de,28
Annette,f,de,28
Ilse,f,de,28
Margarete,f,de,27
Erika,f,de,27
Inge,f,de,26
Marion,f,de,25
Gertrud,f,de,25
Cornelia,f,de,25
Stefanie,f,de,25
Nina,f,de,25
Christa,f,de,25
Kathrin,f,de,25
Carola,f,de,25
Sonja,f,de,24
Caroline,f,de,24
Angela,f,de,24
Anke,f,de,24
Hilde,f,de,23
Dagmar,f,de,23
Silke,f,de,23
Dorothea,f,de,22
Daniela,f,de,21
Simone,f,de,21
Beate,f,de,21
Elke,f,de,20
Alexandra,f,de,20
Manuela,f,de,20
Antje,f,de,20
Doris,f,de,20
Gudrun,f,de,19
Margot,f,de,19
Erna,f,de,19
Nadine,f,de,19
Lena,f,de,19
Yvonne,f,de,18
Rita,f,de,18
Hedwig,f,de,18
Nicole,f,de,18
Ellen,f,de,18
Bärbel,f,de,18
Heidi,f,de,18
Edith,f,de,18
Jana,f,de,18
Clara,f,de,18
Judith,f,de,17
Annemarie,f,de,17
Hannelore,f,de,17
Jennifer,f,de,17
Tanja,f,de,17
Helene,f,de,17
Countess,f,de,17
Friederike,f,de,17
Laura,f,de,17
Käthe,f,de,17
Tina,f,de,16
Henriette,f,de,16
Annika,f,de,16
Sylvia,f,de,16
Stephanie,f,de,16
Else,f,de,16
Silvia,f,de,15
Hildegard,f,de,15
Christel,f,de,15
Regina,f,de,15
Louise,f,de,15
Carolin,f,de,15
Melanie,f,de,14
Maren,f,de,14
Sarah,f,de,14
Britta,f,de,14
Vera,f,de,14
Lotte,f,de,14
Michaela,f,de,14
Kirsten,f,de,13
Rosemarie,f,de,13
Ingeborg,f,de,13
Astrid,f,de,13
Paula,f,de,13
Tatjana,f,de,13
Iris,f,de,13
Vanessa,f,de,13
Miriam,f,de,13
Mathilde,f,de,13
Agnes,f,de,13
Margit,f,de,12
Lina,f,de,12
Ida,f,de,12
Anni,f,de,12
Juliane,f,de,12
Evelyn,f,de,12
Sibylle,f,de,12
Anneliese,f,de,12
Veronika,f,de,12
Hanna,f,de,12
Irene,f,de,11
Verena,f,de,11
Esther,f,de,11
Anita,f,de,11
Duchess,f,de,11
Sigrid,f,de,11
Uta,f,de,11
Kristina,f,de,11
Jacqueline,f,de,11
Grete,f,de,10
Ulla,f,de,10
Herta,f,de,10
Emmy,f,de,10
Heide,f,de,10
Karoline,f,de,10
Rebecca,f,de,10
Marina,f,de,10
Irmgard,f,de,10
Nadja,f,de,10
Jenny,f,de,10
Dorothee,f,de,10
Waltraud,f,de,10
Kristin,f,de,9
Ina,f,de,9
Hermine,f,de,9
Alice,f,de,9
Jessica,f,de,9
Fanny,f,de,9
Steffi,f,de,9
Sara,f,de,9
Grit,f,de,9
Linda,f,de,9
Corinna,f,de,9
Ines,f,de,9
Elsa,f,de,9
Therese,f,de,9
Svenja,f,de,9
Emma,f,de,9
Pauline,f,de,9
